"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA"
250000027283;"DALILA CAMARGO";"#NULO#";"PRP";"FEMININO";"LÊ E ESCREVE";"DIVORCIADO(A)";"BRANCA";"REPRESENTANTE COMERCIAL";"APTO";"N";NA;"NÃO ELEITO";160;NA;NA
250000020827;"ELIZABETE MICHELETE";"#NULO#";"PSD";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"MÉDICO";"APTO";"N";2473295,28;"SUPLENTE";3165;363162,21;"Recursos de partido político, Recursos de pessoas físicas"
250000008340;"MARCOS ANTONIO PINTO";"#NULO#";"PRB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";"N";77000;"SUPLENTE";719;8676,97;"Recursos próprios, Recursos de outros candidatos, Recursos de partido político"
250000005799;"LUIZ AUGUSTO MÓDOLO DE PAULA";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";"N";869281;"SUPLENTE";1350;9608,7;"Recursos de origens não identificadas, Recursos próprios, Recursos de pessoas físicas"
250000058385;"ROBERTO RODRIGUES RIBEIRO";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"FARMACÊUTICO";"APTO";"N";75674;"SUPLENTE";2740;7000;"Recursos próprios"
250000058416;"FRANCISCO CARLOS DA SILVA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ANALISTA DE SISTEMAS";"APTO";"N";640000;"SUPLENTE";5282;36646,7;"Recursos de outros candidatos, Recursos próprios, Recursos de partido político, Recursos de pessoas físicas"
250000027307;"ALCIDES JOSE PEREIRA";"#NULO#";"PTC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PRETA";"FRENTISTA";"APTO";"N";135000;"NÃO ELEITO";326;NA;NA
250000019136;"MARCO ANTONIO RICCIARDELLI";"#NULO#";"PTB";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS";"APTO";"N";940774,69;"SUPLENTE";5114;41665;"Recursos de partido político, Recursos próprios, Recursos de outros candidatos"
250000050150;"JESSICA ALINE CARDOSO";"#NULO#";"PSL";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"ADMINISTRADOR";"APTO";"N";NA;"NÃO ELEITO";880;NA;NA
250000050147;"ANTONIO BARBOSA LIMA";"#NULO#";"PSL";"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";9250;"NÃO ELEITO";179;NA;NA
250000058361;"ALCIDES DIAS LIMA";"#NULO#";"PTN";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"APTO";"N";7000;"SUPLENTE";694;NA;NA
250000005810;"NAOMY SCHOLLING";"#NULO#";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS";"APTO";"N";406634,25;"SUPLENTE";1557;12259,5;"Recursos próprios, Recursos de pessoas físicas"
250000019157;"THAIS HELENA COSTA";"#NULO#";"PTB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";1095429,98;"SUPLENTE";1379;11328;"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos"
250000015100;"TEREZA MIGUEL MENEGUIM";"#NULO#";"REDE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"MÚSICO";"APTO";"N";223000;"NÃO ELEITO";317;1700;"Recursos de pessoas físicas"
250000038331;"FLAVIO CERINO";"#NULO#";"PSDC";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";"N";98000;"NÃO ELEITO";173;3239,53;"Recursos próprios, Recursos de partido político"
250000040596;"ANA MARIA CAMPOS DA TRINDADE";"#NULO#";"SD";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"VIÚVO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";"N";NA;"NÃO ELEITO";816;11512,99;"Recursos de partido político, Recursos de pessoas físicas"
250000040583;"MARCOS ROBERTO DE BRITO";"#NULO#";"SD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";"N";NA;"NÃO ELEITO";62;NA;NA
250000014866;"EDNALDO BISPO DA CRUZ";"#NULO#";"PSOL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";"N";13000;"SUPLENTE";198;NA;NA
250000004986;"PATRICIA GAMA DE QUADROS BEZERRA";"#NULO#";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PSICÓLOGO";"APTO";"S";349199,73;"ELEITO POR QP";45285;373262,04;"Recursos de outros candidatos, Recursos próprios, Recursos de pessoas físicas, Recursos de partido político"
250000005809;"FERNANDO DE ALMEIDA GALDINO";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ANALISTA DE SISTEMAS";"APTO";"N";242374,53;"SUPLENTE";182;2500,39;"Recursos de origens não identificadas, Recursos próprios"
250000019158;"MARIA TERESA DA SILVA LATTARI";"#NULO#";"PTB";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"SERVIDOR PÚBLICO ESTADUAL";"APTO";"N";NA;"SUPLENTE";145;NA;NA
