"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"ST_REELEICAO"
250001265969;"VALTER ESTEVAM";"#NULO";"DC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";NA;"NÃO ELEITO";134;5057,1;"Recursos de partido político";"N"
250001129691;"HAILTON ANJOS DOS SANTOS FILHO";"#NULO";"DC";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";NA;"NÃO ELEITO";231;5057,1;"Recursos de partido político";"N"
250001129697;"SERGIO CASSAGNI";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"GERENTE";"APTO";NA;"NÃO ELEITO";451;4444,05;"Recursos próprios, Recursos de partido político";"N"
250001265959;"EGBERTO KUDO";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"AMARELA";"EMPRESÁRIO";"APTO";NA;"NÃO ELEITO";103;3872,1;"Recursos de partido político";"N"
250001265970;"LUCIANA CRISTINA MENDES SANTOS";"#NULO";"DC";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"DONA DE CASA";"APTO";NA;"NÃO ELEITO";317;6360,33;"Recursos de partido político";"N"
250001088416;"VINICIUS COSTA DE SOUZA";"#NULO";"MDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"BOMBEIRO CIVIL";"APTO";NA;"SUPLENTE";388;1000;"Recursos de partido político";"N"
250001088449;"MARIO PALUMBO JUNIOR";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"POLICIAL CIVIL";"APTO";2347170,43;"ELEITO POR QP";118395;288360;"Recursos de pessoas físicas";"N"
250001088462;"PATRICIA GOMES DA SILVA";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";150000;"SUPLENTE";273;25628;"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas";"N"
250001088460;"VIVIANE FERREIRA PROCOPIO";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PSICÓLOGO";"APTO";NA;"SUPLENTE";828;45000;"Recursos de partido político";"N"
250001088402;"PEDRO ORLANDO PETRERE JUNIOR";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";250406,46;"SUPLENTE";558;0;"#NULO";"N"
250001088465;"DANIELA BORGES BARRETTO";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"PUBLICITÁRIO";"APTO";15539,95;"SUPLENTE";386;52340;"Recursos de partido político, Recursos de pessoas físicas";"N"
250001088443;"MARCO ANTONIO ZITO ALVARENGA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"SERVIDOR PÚBLICO FEDERAL";"APTO";553088,92;"SUPLENTE";487;10600;"Recursos de partido político, Recursos próprios";"N"
250001088440;"SIDNEY DORING GUERRA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"COMERCIANTE";"APTO";680627,89;"SUPLENTE";4618;75779;"Recursos de pessoas físicas, Recursos próprios";"N"
250001088463;"CRISTIANE TRIGUEIRO DE OLIVEIRA";"#NULO";"MDB";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";NA;"SUPLENTE";69;10000;"Recursos de partido político";"N"
250000651027;"ANTONIO EDUARDO DOS SANTOS";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"APTO";567241,07;"SUPLENTE";2528;164023,39;"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de partido político";"N"
250000651038;"JANDIRA DE MENEZES CREPALDI";"#NULO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PARDA";"PEDAGOGO";"APTO";920834,17;"SUPLENTE";186;109088,13;"Recursos de partido político, Recursos próprios";"N"
250000651020;"ANDRÉ BEZERRA RIBEIRO SOARES";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";560204,18;"SUPLENTE";16425;364123,63;"Recursos de pessoas físicas, Recursos de partido político";"N"
