"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"BENS_TOTAL"
250002064663;"GUSTAVO UBATÃ ALVAREZ CORDEIRO DE MATOS";"#NULO";"UP";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"FERROVIÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";798;13375;"FUNDO ESPECIAL";25000
250002357429;"APARECIDA SANTIAGO DE ARAUJO";"#NULO";"DC";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";1;6820,65;"FUNDO ESPECIAL";NA
250002357443;"WILSON CAPUTO SANT ANNA";"#NULO";"DC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"BOMBEIRO CIVIL";"#NE";"S";"DEFERIDO";"NÃO ELEITO";183;6820,65;"FUNDO ESPECIAL";NA
250002357425;"NATTAN FERREIRA DE LIMA";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"#NE";"N";"DEFERIDO";"NÃO ELEITO";78;7421,65;"OUTROS RECURSOS, FUNDO ESPECIAL";NA
250002075151;"WELLINGTON WAGNER DA SILVA";"#NULO";"PRD";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ASSISTENTE SOCIAL";"#NE";"N";"DEFERIDO";"NÃO ELEITO";239;35405,25;"FUNDO ESPECIAL, OUTROS RECURSOS";309321,59
250002075142;"VERUSKA GHENDOV";"#NULO";"PRD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PSICÓLOGO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";1916;150000;"FUNDO ESPECIAL";1730000
250002075174;"MARCELO FRANCISCO DE ALMEIDA";"#NULO";"PRD";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"N";"DEFERIDO";"NÃO ELEITO";442;10000;"FUNDO ESPECIAL";195006
250002075146;"JANDERSON MARIANO";"#NULO";"PRD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";477;21058;"FUNDO ESPECIAL, OUTROS RECURSOS";310228,16
250002075156;"LINDINALVA DO CARMO LIMA";"#NULO";"PRD";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"DONA DE CASA";"#NE";"N";"DEFERIDO";"NÃO ELEITO";221;40000;"FUNDO ESPECIAL";NA
250002075163;"LENIR MARIA DE OLIVEIRA";"#NULO";"PRD";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"DONA DE CASA";"#NE";"N";"DEFERIDO";"NÃO ELEITO";100;25000;"FUNDO ESPECIAL";2410,45
250002181654;"ELIANE FRANCESCONI";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";353;5845,42;"OUTROS RECURSOS, FUNDO PARTIDARIO";885146,91
250002181653;"ADAO MARIANO APARECIDO";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";2246;0;"#NULO";NA
250002181648;"ARMANDO RUFINO BARBOSA NETO";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";"#NE";"N";"DEFERIDO";"NÃO ELEITO";167;2499,42;"FUNDO PARTIDARIO, OUTROS RECURSOS";19000
250002181674;"SOLANGE DA SILVA SCAPELLE AZEVEDO";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";334;7721,2;"FUNDO PARTIDARIO, FUNDO ESPECIAL";321971
250002181672;"FRANCISCO ANTONIO CAMURÇA DE CARVALHO";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";676;13000;"OUTROS RECURSOS";4231884,01
250001973482;"DIEGO LUIZ DE CASTRO";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";675;55000;"FUNDO ESPECIAL";6447,81
250001973473;"DAVID ZYLBERGELD NETO";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"#NE";"N";"DEFERIDO";"SUPLENTE";999;500010;"OUTROS RECURSOS, FUNDO ESPECIAL";3154621,96
250001973514;"MARCIO APARECIDO DOS SANTOS";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"SUPLENTE";441;52880;"FUNDO ESPECIAL, OUTROS RECURSOS";38432,16
250001973472;"FABIO LUIZ DOMINIQUINI";"#NULO";"PL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"SUPLENTE";1732;506315,24;"FUNDO ESPECIAL, OUTROS RECURSOS";3422000
250001973504;"GILBERTO NASCIMENTO SILVA JUNIOR";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"S";"DEFERIDO";"ELEITO POR MÉDIA";22306;1236331,6;"OUTROS RECURSOS, FUNDO ESPECIAL";1065065,64
250001973496;"EDUARDO DE CASTRO";"#NULO";"PL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";"SUPLENTE";2813;307280;"OUTROS RECURSOS, FUNDO ESPECIAL";3149219,1
250002052105;"AGOSTINHO FERREIRA GOMES";"#NULO";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PARDA";"ADVOGADO";"#NE";"N";"DEFERIDO";"SUPLENTE";442;43469,92;"FUNDO ESPECIAL, OUTROS RECURSOS";692529,4
250002052131;"GABRIEL DE MEDEIROS JACQUES";"#NULO";"PSOL";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";1070;36816,36;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
250002052106;"ANTÔNIO BIAGIO VESPOLI";"#NULO";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"#NE";"S";"DEFERIDO";"ELEITO POR QP";34735;528464,74;"OUTROS RECURSOS, FUNDO ESPECIAL";548470,5
250002052114;"ELAINE CRISTINA MINEIRO";"#NULO";"PSOL";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"VEREADOR";"#NE";"S";"DEFERIDO";"SUPLENTE";15615;742636,24;"OUTROS RECURSOS, FUNDO ESPECIAL";NA
250002052116;"LUANA DOS SANTOS ALVES SILVA";"#NULO";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"VEREADOR";"#NE";"S";"DEFERIDO";"ELEITO POR QP";83262;601539,49;"OUTROS RECURSOS, FUNDO ESPECIAL, FUNDO PARTIDARIO";269797,68
250002052082;"EDSON ITAMAR DA SILVA";"#NULO";"PSOL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"ELETRICISTA E ASSEMELHADOS";"#NE";"N";"DEFERIDO";"SUPLENTE";1423;42467,92;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
250002018933;"MARIO TADEU GUERRERA";"#NULO";"MOBILIZA";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";10;0;"#NULO";NA
250002018903;"SIDNEY MELO DA SILVA";"#NULO";"MOBILIZA";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL";"#NE";"N";"DEFERIDO";"NÃO ELEITO";22;0;"#NULO";NA
250002018915;"ROBERTO SELMER JÚNIOR";"#NULO";"MOBILIZA";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";184;2400;"OUTROS RECURSOS";252097,68
250002018937;"ROSANGELA CRISTINA DE MORAES";"#NULO";"MOBILIZA";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";261;15000;"FUNDO ESPECIAL";12000
250002363848;"MÁRCIO ROBERTO OLIVEIRA";"#NULO";"PCO";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";"#NE";"N";"DEFERIDO";"NÃO ELEITO";37;126265,73;"FUNDO ESPECIAL";NA
250002170977;"KAREN CRISTINA SANTOS VASCONCELOS";"#NULO";"PRTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";1230;12874,26;"FUNDO ESPECIAL";NA
250002171012;"VIVIANE PALMERO FARIAS";"#NULO";"PRTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";1194;21609,54;"FUNDO ESPECIAL";10000
250002170993;"AILTON RODRIGUES MACHADO";"#NULO";"PRTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"POLICIAL MILITAR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";2103;32168,99;"FUNDO ESPECIAL";416449,18
250002170975;"ROGERIO JACOMO MICHELETTI";"#NULO";"PRTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"#NE";"N";"DEFERIDO";"NÃO ELEITO";148;8597,87;"FUNDO ESPECIAL";1103765
250002029402;"RODRIGO CARLOS DE MORAIS";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";6360;301122,67;"FUNDO ESPECIAL";275000
250002029376;"MARIA HELOISA GOMES DA SILVA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"#NE";"N";"DEFERIDO";"NÃO ELEITO";166;25395,09;"FUNDO PARTIDARIO, FUNDO ESPECIAL";66581,1
250002029391;"ROGÉRIO VALDECI DE LIMA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";2091;73143,67;"OUTROS RECURSOS, FUNDO ESPECIAL";245000
250002029399;"JEFFERSON ELOY";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ASSISTENTE SOCIAL";"#NE";"N";"DEFERIDO";"NÃO ELEITO";2403;31072,68;"FUNDO PARTIDARIO, FUNDO ESPECIAL";NA
250002029355;"CARLOS EDUARDO BATISTA FERNANDES";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";16871;574339,83;"OUTROS RECURSOS, FUNDO ESPECIAL";282500
250002029359;"IERZY IGNATOWICZ";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"MOTORISTA PARTICULAR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";530;39641,84;"FUNDO PARTIDARIO, FUNDO ESPECIAL";NA
250002029358;"FLORISA BATISTA DE ALMEIDA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ADVOGADO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";381;27330,59;"FUNDO PARTIDARIO, FUNDO ESPECIAL";NA
250002029392;"MARIA MADALENA DE CARVALHO LIMA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"#NE";"N";"DEFERIDO";"NÃO ELEITO";227;44045,57;"FUNDO PARTIDARIO, FUNDO ESPECIAL";NA
250001913972;"JOSÉ ROBERTO NAZELLO DE ALVARENGA TRIPOLI";"#NULO";"PV";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"#NE";"S";"DEFERIDO";"ELEITO POR QP";39039;1273424,2;"OUTROS RECURSOS, FUNDO ESPECIAL";4996834,18
250001913941;"JOSÉ GERALDO ARAÚJO";"#NULO";"PT";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";27186;1137279,15;"FUNDO ESPECIAL, OUTROS RECURSOS";1
250001913960;"ERIK CARLOS DA SILVA";"#NULO";"PT";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"SUPLENTE";4327;72365,87;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
